id,sentimento_op30_tf_idf,sentimento_op30,palavras_op30,sentimento_sent_tf_idf,sentimento_sent,palavras_sent,palavras
52,-0.0048597600214406525,-1,7,0.07701635339554948,1,2,39
53,0.12258629913124847,1,3,0,0,0,12
54,-0.3457131367891185,-1,4,0.2746819521806558,1,1,20
55,0.13292187762708974,2,11,0.11853798679537778,3,2,76
56,0.22126508667230516,8,13,0.08121232534131587,2,2,83
57,0,0,0,0,0,0,67
58,-0.39836605769762556,-1,1,0,0,0,10
59,0.061828213609167994,2,10,-0.01883086935086228,0,4,85
60,-0.03409137731155342,-1,19,0.03969619917148913,2,5,91
61,-0.26121861996105067,-2,6,-0.06980977758364557,0,2,39
62,0.010805153342244245,1,12,-0.12412050254772877,-1,5,57
63,0.31705929516185677,6,10,0,0,0,63
64,0.1879524430767133,1,2,0,0,0,19
65,0.14129759541682424,2,4,0.10151540667664484,1,1,45
66,-0.11680765729808902,-2,9,0,0,0,65
67,-0.07502031085481543,-2,13,-0.07795028372694288,-2,2,126
68,0,0,0,0,0,0,61
69,0.00490348765663397,3,18,0.02744963352819034,3,5,213
70,-0.04577551202783789,0,3,0.3847523707747291,2,2,23
71,0.004836867458420505,0,5,-0.01805762521558044,-1,1,74
72,0,0,1,-0.10834575129348263,-1,1,15
73,0.14609417075014264,5,18,-0.08568272857111309,-2,3,87
74,0,0,1,0,0,0,11
75,0.06816492540646911,2,11,-0.061443535620074506,-1,1,72
76,0.20843445730173282,1,3,0.31435104910837064,2,2,28
77,0,0,0,0,0,0,26
78,0.024607237228470392,1,8,0,0,0,78
79,-0.28210891088971446,-2,8,-0.21987688134933486,-2,3,34
80,0.03412164096799142,2,7,5.983573394152432e-4,-1,4,91
81,0.16677531096877365,1,2,0.12753915780205546,1,1,26
82,0,0,0,0,0,0,102
83,-0.04389318594431373,1,11,0,0,2,78
84,-0.06369116991779142,-1,20,-0.04642605777070564,-1,5,99
85,0.13598745317194605,6,15,0.06076047232516495,2,6,144
86,0,0,0,0,0,0,113
87,0,0,2,0,0,0,6
88,8.577347268828722e-4,0,5,-0.13652756600173002,-2,2,39
